Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
25-02-2025,OPAL,OPAL Fuels Inc,Western Milling fueling station/Visalia,,,,Completed
14-02-2025,18LB.HA,Investment AB Latour,American Geothermal,Encore Energy Systems Inc,,,Completed
13-02-2025,AIV,Apartment Investment and Management Co,Midship pipeline/Kingfisher County,Cheniere Energy Inc,,,Completed
12-02-2025,APO,Apollo Global Management Inc,Bold Production Services LLC,,,,Completed
12-02-2025,TRUL,Trulite Inc,Dependable Glass Works Inc,,,,Completed
06-02-2025,ONEW,OneWater Marine Inc,American Global Yacht Group LLC,,,,Completed
04-02-2025,BTDR,Bitdeer Technologies Group,101 MW opal gas fired power project/Alberta,Kiwetinohk Energy Corp,21.7,,Completed
03-02-2025,CA89055A2039.SG,Topaz Energy Corp,40 MMcf/d natural gas processing facility/Alberta,Logan Energy Ltd,,,Completed
31-01-2025,FHLD,Freedom Holdings Inc,Renewable Energy Products Manufacturing Corp,,,,Completed
29-01-2025,BEPC,Brookfield Renewable Corp,3.2 MW Churchill Street Solar project/Pittsfield,Sunfarm Solar LLC,,,Completed
27-01-2025,AESI,Atlas Energy Solutions Inc,Moser Engine Service,Hilltop Holdings Inc,220,,Completed
21-01-2025,SGSN.SW,SGS SA,MP Machinery & Testing LLC,Praesidian Capital Corp,,,Completed
15-01-2025,E,Eni SpA,Tate Engineering Systems Inc,,,,Completed
14-01-2025,ABBN.SW,ABB Ltd,Coulomb Inc,,,,Completed
10-01-2025,GRYP,Gryphon Digital Mining Inc,"BowArk Energy Ltd,Captus Generation Ltd","West Lake Energy Corp,BTG Capital Inc",16.65,,Completed
10-01-2025,USEG,US Energy Corp,Operated acreage targeting helium & other industrial gas production/Toole County,Synergy Offshore LLC,4.27,,Completed
10-01-2025,BKTPF,Cruz Battery Metals Corp,580 acre lithium brine project/Clayton Valley,Schlumberger NV,0.17,,Completed
08-01-2025,KRP,Kimbell Royalty Partners LP,Magbee Ranch/New Mexico,Boren Minerals Inc,231,,Completed
08-01-2025,STSFF,Smartstop Self Storage REIT Inc,"1204 Broad St/Clifton,591 N Union Ave/Hillside",,,,Completed
07-01-2025,ICFI,ICF International Inc,Applied Energy Group,Ameresco Inc,,,Completed
06-01-2025,ALTO,Alto Ingredients Inc,Kodiak Carbonic LLC,,7.25,,Completed
31-12-2024,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200,,Completed
